sentence	is_actionable
---------------------------	Non-Actionable
Sarah, mark your calendars for meeting next thursday!	Actionable
I will send you a package on the property that was prepared by the broker,by Airborne Express today for Saturday delivery.	Non-Actionable
Let me know if the above fits your purpose or if you would prefer to move in another direction.	Actionable
please review your project schedule with each supervisor and let me know the comments.	Actionable
Chris, give me call when you have moment.	Actionable
(no particular order):	Non-Actionable
I don't think these are required by the ISP   2.	Non-Actionable
TBD.	Non-Actionable
please talk to your KN trader regarding this situation tomorrow.	Actionable
Larry, Please take look at the attached excel file for the 7400 ft elevation and inform the manger.	Actionable
Please check on these immediatly since the LDC deadlines start today and send updates frequently.	Actionable
Reagan,Just wanted to give you an update.	Non-Actionable
End: 09/28/2000	Non-Actionable
Please let me know how to facilitate the process further.	Actionable
Allen Please authorize the following products for approval.	Actionable
(Patti S for example)	Non-Actionable
_	Non-Actionable
To: Richard Burchfield/HOU/ECT@ECTcc:	Non-Actionable
Richard BurchfieldSent by:	Non-Actionable
Time:	Non-Actionable
Lisa Alfaro, get look at the assignment provisions so that, Brett and Enron can know what his constraints are with respect to possible sale.	Actionable
Extension:  3-7041	Non-Actionable
03:53 PM ---------------------------	Non-Actionable
_	Non-Actionable
Get feedback from GE today.	Actionable
This would giveyou a total loan of $992,000, total cost of $1,232,645 for equity requiredof $241,000.	Non-Actionable
he is selling them during construction and b)	Non-Actionable
Take charge of your personal finances	Actionable
Fortunately, it looks asif she will be ok in the long run.	Non-Actionable
Please wrap up the phone interviews ASAP.	Actionable
Things requested thus far	Non-Actionable
10/05/2000 06:03 PM	Non-Actionable
Coordinate with financial products group.	Actionable
Please contact me anytime	Non-Actionable
Forwarded by Phillip K Allen/HOU/ECT on 10/16/2000	Non-Actionable
The spread relationship between San Juan and other points (Socal & Northwest)  is  consistent between the end of September and        October gas daily.	Non-Actionable
Please review the attached balance sheet with Matt and get his sign off as soon as possible.	Actionable
Please call me about this issue so we can discuss.	Actionable
I would even try and get some honest opinions on whether a trip is even desired or necessary.	Non-Actionable
Keep in touch and let me know what day is good for you!	Actionable
Support the closing of the Intergen transaction.	Actionable
Phillip K Allen/HOU/ECT	Non-Actionable
Please create new CPR index report and have it sort 1st byPub Code, 2nd by pipe, 3rd by zone.	Actionable
Please complete Hayden's form for your respective regions today.	Actionable
Authorize Mettatal to file our pleading.	Actionable
verify the creditworthiness of the company we are selling.	Actionable
why is aeco basis so low on the list?	Non-Actionable
, I think we still have the following issues:	Non-Actionable
You have to resolve Enron's ongoing concerns at any cost.	Actionable
Please provide some additional clarification including the following information so that Enron can decide how to best respond to the filing by evening.	Actionable
INPUT	Non-Actionable
Go ahead and release the assets, 100 recallable, for three years.	Actionable
Please update everyone that our weekly conference call was rescheduled to Tuesday.	Actionable
Kevin, Please let me know who will be using the tickets for Tues.	Actionable
Please let me know how you would like to handle including of this special language in the confirmations.	Actionable
This isn't either.?	Non-Actionable
"Asit is in the ""Smart Growth Corridor"" area designated by the City of Austinfor preferred development, this will be fast tracked and should be completein less than 6 months."	Non-Actionable
Make sure that the base volume is allocated to the base ticket and all other swings go to the other tickets.	Actionable
My cell phone is 512-748-7495 and the fax is512-338-1103.	Non-Actionable
Please save and send this message to all the teams for future reference.	Actionable
http://www.fsddatasvc.com/enronYour unique ID for each participant you have been asked to rate	Non-Actionable
When is the 700,000 actually needed?	Non-Actionable
>	Non-Actionable
Microturbine is an> onsite generation product developed by Honeywell to generate electricity> on customer site (degen).	Non-Actionable
Double check my email for spaces prior to jporte1.	Actionable
Let me know your flights so that can I arrange the air transfers between Belize City and Placencia and dive lessons through deposit.	Actionable
This release will befor 90% of the cost with the remaining 10% released one year aftercompletion.	Non-Actionable
Hopefully we'll know much better where that part stands at that point.	Non-Actionable
Find the reasons and the differences between the total ERCOT load forecast and the sum of the zonal load forecasts by tomorrow.	Actionable
Debt	Non-Actionable
starting on    (if the date occurs on a weekend the meeting ).	Non-Actionable
Let me know whether the form of this document is acceptable to MEH.	Actionable
Richard, please see my changes to Schedule meeting with John and Rick and check the availability.	Actionable
----------------------	Non-Actionable
As discussed  during our phone conversation, In a Parallon 75 microturbine> power generation deal for a national accounts customer	Non-Actionable
Var, Reporting and Resources Meeting	Non-Actionable
When will design be complete?	Non-Actionable
New drill down in the position manager to break out positions by: physical, transport, swaps, options, ...	Non-Actionable
12:08 PM ---------------------------	Non-Actionable
Please let me know once you check forms and reports and discuss with management on format, so we can do distribution to identify compliance issues.	Actionable
Scott Mills/HOU/ECT	Non-Actionable
Third, is a pre-sold unit with the constructionloan in the name of the buyer.	Non-Actionable
Let me know as soon as possible because it is scheduled for this week.	Actionable
Please call me to discuss the SPA once you have reviewed the appropriate documents.	Actionable
Please check with your team and coordinate with Account Managers and Sales Executives to achieve sales objectives.	Actionable
----------------------	Non-Actionable
This cost represents a bond for the completion ofimprovements that COA considers vital and these funds are released once theimprovements have been completed and accepted by COA.	Non-Actionable
Get check cut for application fee.	Actionable
With estimated per lot improvement costs of $9,000, 'fiscals' at$2,000 and the land cost at $8,000	Non-Actionable
A small freakish wind storm with severe	Non-Actionable
These fiscals are usually posted in cash or anirrevocable letter of credit.	Non-Actionable
Get authorization from PERC July 14th or sooner with cost coverage provisions, since the EPC contractors are likely to want to charge thought you would enjoy this.	Actionable
I want you to compile our new Gas Accord II meetings and settlement conferences, and another for those who have expressly agreed to abide by the terms of CPUC Rule 51 attached.	Actionable
This would giveyou a total loan of $992,000, total cost of $1,232,645 for equity requiredof $241,000.	Non-Actionable
please write description on how Consumers Energy works on the billing for title transfers	Actionable
Give me call once you get these.	Actionable
This would produce an average sqfootage of 1233, which would be $73.80 psf at $182,000.	Non-Actionable
Please park outside the complex and get the work done as soon as possible.	Actionable
Gas Daily for monthly index,Physical gas for Nymex,Physical gas for Inside Ferc,Physical gas for Mid market.	Non-Actionable
please find tentative schedule for the meetings for next month.	Actionable
Gas Trading Vision Meeting - Room EB2556	Non-Actionable
Make necessary FERC Filings to implement these changes.	Actionable
Let me know by 2pm so we have time to get it to her.	Actionable
Please assist participants to perform all meetings effectively by sending emails.	Actionable
Karen, please provide Louise and John with copies of the resumes Kevin's group selected for the summer interns.	Actionable
please make the team understand IC industry practices company methods and participate.	Actionable
Send emails to Christi for further assistance on East power desk issues.	Actionable
_	Non-Actionable
Enron-admin@FSDDataSvc.com on 09/06/2000 10:12:33 AM	Non-Actionable
please email to kathy and chris about changes in the list once you add me.	Actionable
Ability to revalue all options incrementally throughout the trading day.	Non-Actionable
At present CB does not ownany significant equipment, but it is considering the purchase of a sky trackto facilitate and speed up framing, cornice, roofing and drywall spreading.	Non-Actionable
Phillip K Allen/HOU/ECT	Non-Actionable
As such, they have to be counted as adevelopment cost, even though they are not spent.	Non-Actionable
Please try to have your business needs concluded prior to this outage.	Actionable
Please continue to get approval above this amount from TCO Gas Control.	Actionable
Find the answer by taking free trial membership from the American Association.	Actionable
7.	Non-Actionable
I would also like to review the closing statements as soon as possible.	Non-Actionable
Limited partnership?	Non-Actionable
Rusty, Let's meet at your convenience.	Actionable
please keep you eyes open for similar initiatives in other markets.	Actionable
Uses of Funds	Non-Actionable
Collaborate with outside software consultants for developing new or modifying existing systems.	Actionable
Keith	Non-Actionable
Finally,for vendors they are constantly shopped.	Non-Actionable
Allan Severude/HOU/ECT	Non-Actionable
Let's make sure we all agree on contracts that have been terminated.	Actionable
Please let me know where to head in to resolve this.	Actionable
The City shut down the project for a week and it tookanother week to get every thing back on tract.	Non-Actionable
She has a bulge in the material between the vertebrain her spine and it causes her extreme pain and has kept her bedridden thispast week..	Non-Actionable
Richard BurchfieldSent by:	Non-Actionable
Please let me know, as soon as possible, if this schedule creates conflict for you or not.	Actionable
Set up new deal to cover this flow or extend the deal from Feb.	Actionable
Meeting Dates:	Non-Actionable
As we discussed in San Marcos, we can also discusshaving you invest only in the lots, sell the lots to the construction entitywith your profit in the lot.	Non-Actionable
Harrison/NA/	Non-Actionable
Call or email to let me know if this would work for you.	Actionable
If yes, who?	Non-Actionable
Please let me know what you find out from Gerald.	Actionable
Please let me know today when you are available to discuss further.	Actionable
Chris, as we discussed, please get with Brenda Fletcher and set this up since the pathing does not allow me.	Actionable
The seller accepted our offer Thursday evening with a price of $680,000 andan extended escrow.	Non-Actionable
The investment prior toobtaining the improvement loan would count towards any equity requirementprovided it was for direct costs.	Non-Actionable
Attend the call with EPSA about this effort on Tuesday at 5p.m.	Actionable
----------------------	Non-Actionable
Join the Integrated Solutions Team PSI Homesavers on April 21 April 28!	Actionable
Make sure Amanda adds it to the calendar.	Actionable
Scott Neal/HOU/ECT	Non-Actionable
Please make any other changes that may be needed regarding employees, titles, etc.	Actionable
Phillip K Allen/HOU/ECT	Non-Actionable
when your group currently generating standard report that captures the surveyed data, please send the report to me, and put me on your recipient list beginning next month.	Actionable
Papes      Detail description and units?	Non-Actionable
Fletcher J Sturm/HOU/ECT	Non-Actionable
Please see the attached spreadsheet for a trade by trade list and a summary.	Non-Actionable
RH Please let me know your thoughts as soon as possible.	Actionable
Enron North America Corp.	Non-Actionable
Please submit your written application to Joe Thompson at the Dominion Gathering Production Office.	Actionable
Please let me know the contract numbers for the COH Production gas and path them in Gain if you don't mind.	Actionable
Each of the individual investors andall of the principals in Creekside would also personally guarantee theloans.	Non-Actionable
Replace the Subject field with the word REMOVE from the next time while sending emails to your team.	Actionable
Please make copies for me and update it to me.	Actionable
_	Non-Actionable
please find the regulatory filing summary and summary of interventions and prepare a document.	Actionable
but I am booked with stage coach.	Non-Actionable
Please administer all work yard operations and ensure compliance to safety policies for every week.	Actionable
George, Please send the latest cost estimates when you get chance this morning.	Actionable
Jayant Krishnaswamy/HOU/ECT@ECT	Non-Actionable
please find memo regarding the delay of ERCOT's cutover to single control area operations to July 31, 2001.	Actionable
10:38 AM	Non-Actionable
Please note that John is in Calgary and has 1 hour time difference and Tim is in Seattle with 2 hour time difference.	Actionable
Hunter S Shively/HOU/ECT	Non-Actionable
----------------------	Non-Actionable
Internet viewing for investors?	Non-Actionable
Gas Physical/Financail Positions - Room 2537	Non-Actionable
Chris, please generate the August invoice for CES and send to me.	Actionable
12:29 PM ---------------------------	Non-Actionable
Promote and track sales to systems integrators such as Accenture, KPMG, PwC, etc.	Actionable
Jack, please switch my sitara access from central to west and email me with my payslips	Actionable
check with Mark Reese to see if Lamar Frazier would be interested.	Actionable
Call me when you have the time to go over this.	Actionable
If you have already tossed it, let me know	Non-Actionable
>	Non-Actionable
please include these grants in the portfolio manager.	Actionable
Please let me know at your earliest convenience.	Actionable
Make the updated report downloadable into Excel so that everyone can use it easily.	Actionable
Book room today at one of our strip properties Mandalay Bay, Luxor, Monte Carlo, Excalibur or Circus Circus Las Vegas and send me the confirmation on it.	Actionable
This meeting repeats	Non-Actionable
Allan Severude	Non-Actionable
Please check design and requirements of all participants and design classes to suit individual need.	Actionable
Currency and volume uom conversions.	Non-Actionable
There are three types of  construction loans.	Non-Actionable
Hunter S Shively/HOU/ECT@ECT	Non-Actionable
Labor   3187  3428  2770	Non-Actionable
Please ask Bruce to check his availability and arrange the meeting with manager.	Actionable
Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com.	Non-Actionable
Please monitor my book and others to make certain DEC deals are not being transferred prior to NX1 at an IF monthly or GD daily mid price.	Actionable
pallen	Non-Actionable
Mr. Buckner, For delivered gas behind San Diego	Non-Actionable
Chris and Scott, please check the term and pricing, and correct the deal tickets.	Actionable
Visit the ThinkBank to get the rest of the story on these ideas.	Actionable
We have also included a summary of gas daily prices to illustrate the value of San Juan based on several spread relationships.	Non-Actionable
TIME SENSITIVE:	Non-Actionable
Please discuss this with Kevin Presto's tranmission people Bill Rust on 31.	Actionable
Please stay in touch with the team and send the updates to me.	Actionable
Let me know when you get the quotes from Pauline.	Actionable
Please review, monitor, and if necessary, adjust the storage withdrawals to avoid overruns and the resulting penalties as provided in Section 35.3B of the General Terms and Conditions.	Actionable
Description:	Non-Actionable
Theimprovements are higher to cover large one time up front costs for designcosts, the entry road, water treatment costs, perimeter fencing andlandscaping, and so on, as well as for 100% of the land.	Non-Actionable
The implementation of incorporating PJM West into PJM must occur on January 1, 2002 as planned.	Actionable
We are more than willing to provide reports to track expenses vs. plan.	Non-Actionable
Fletcher J Sturm/HOU/ECT	Non-Actionable
They are scrubbing all their books and booking the Hubert deal on Wednesday and Thursday.	Non-Actionable
Hi Jeff, Make sure the access to the network is defined as DS1 access...We would like DS3 access pricing because that is the minimum level of service we trade at today.	Actionable
How about either next Tuesday or Thursday?	Non-Actionable
Continue to monitor Hydro so as to reflect EES interests.	Actionable
We have compiled a list of financial and physical trades executed from September 25 to September 27.	Non-Actionable
Please talk to Vance Taylor about this in the next meeting, so we can take the proper steps.	Actionable
please find schedule of planned allocations from ENA to other Business units.	Actionable
Please assign global id's to the four junior traders listed on Dawn's original email.	Actionable
NO	Non-Actionable
_	Non-Actionable
Please inform team to create marketing proposals and materials.	Actionable
starting on    (if the date occurs on a weekend the meeting ).	Non-Actionable
04:26 PM ---------------------------	Non-Actionable
This was not presented in the initial analysis as the phasingis depended on a more careful assessment by the Civil Engineer as theseparate phases must each be able to stand on its own from a utilitystandpoint.	Non-Actionable
Please review, and approve or reject the items in your eProcurement Inbox by logging into eProcurement at your eHRonline and Payables logon information.	Actionable
09/27/2000 03:00 PM	Non-Actionable
Hit Toyota Gnomes for extra points and try to be in top list.	Actionable
Check if this is now acceptable to Enron for filing.	Actionable
As you can tell from the proforma this projectshould produce a truly exceptional return of over 40% per year over 3 years.	Non-Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/11/2000	Non-Actionable
Please let me know about access as soon as you get chance.	Actionable
From:  Cindy Cicchetti                           09/26/2000	Non-Actionable
It is our desire to have reliable and accurate indices against which to conduct our physical and financial business.	Non-Actionable
Each grouped column in the top grid would be tied to a grouped column in the bottom grid.	Non-Actionable
To: Richard Burchfield/HOU/ECT@ECTcc:	Non-Actionable
Let's plan to talk about this on Monday.	Actionable
Please check with Mike Barnas and Kent Shoemaker to  see if they are available at 11:00 Central tomorrow.	Actionable
Billy Braddock Please participate and give group overview.	Actionable
Please let me know your thoughts about participating in the process.	Actionable
Chris, Please fax the support sent to you on this.	Actionable
Talk with Kay regarding option conveyance document and lease agreement.	Actionable
Please change Sitara to reflect the transportation rates shown on the schedule below.	Actionable
From:  Cindy Cicchetti                           09/26/2000	Non-Actionable
Please ensure consistency and accuracy of customer account deliverables.	Actionable
As you can tell from the proforma this projectshould produce a truly exceptional return of over 40% per year over 3 years.	Non-Actionable
This meeting repeats	Non-Actionable
Scott Neal -	Non-Actionable
Activate all who work with Transmission or have any good ideas on the subject.	Actionable
Fletcher J Sturm/HOU/ECT	Non-Actionable
Please continue to include me in all further intellegence reports regarding the situation in California.	Actionable
Callwhen you have reviewed	Non-Actionable
This is the best project in terms of risk and reward that wehave uncovered to date in the Austin market.	Non-Actionable
Please, check with Vasant, he will introduce you to the credit team and let me know once it is done.	Actionable
Let me know the problem you have with the schedule that was outlined.	Actionable
End:	Non-Actionable
Keep everyone posted that this capacity is subject to the bidding process and this is simply proposal based on capacity available to date.	Actionable
re:	Non-Actionable
Even though this property is not likely to require streetwidening and will have less of a detention/retention and filtration pondrequirement, I used this data to be cautious.	Non-Actionable
Review it and send me the changes.	Actionable
- Westgate Proforma-Phillip Allen.xls	Non-Actionable
It doesn't make sense to have monthly indeces that are dramatically different.	Non-Actionable
please check with Kevin regarding this memo and if you are able to get copy please fax it to me.	Actionable
Kathy, please relay the information to Mike Grigsby at 37031 so he can pass it along to the user at gas daily today.	Actionable
This meeting repeats	Non-Actionable
In addition, create section on our web site for enviornmental related matters.	Actionable
> Buck Buckner, P.E., MBA	Non-Actionable
Please follow the steps outlined here to access the Gas Message Board and let the team know.	Actionable
No Response	Non-Actionable
Please schedule your flight to arrive to the San Francisco airport on Monday, October 16th.	Actionable
LAND OWNERSHIP & LOANS	Non-Actionable
Follow up and make sure the officers get set up correctly.	Actionable
Susan, revise the agreement and fax it to the customers.	Actionable
Scott Neal -	Non-Actionable
Allan Severude/HOU/ECT	Non-Actionable
Antonio if you do not know anyone.	Non-Actionable
Consider all factors, including your risk tolerance, to take realistic view of how to handle the margin call.	Actionable
Phillip, Below is the issues & to do list as we go forward with documenting the requirements for consolidated physical/financial positions and transport trade capture.	Non-Actionable
No Response	Non-Actionable
Change the Buyer from the old desk to the new desk that matches the Supply or Market deal that you are pathing with.	Actionable
but there was a scheduling problem with a couple of people for the original time slot.	Non-Actionable
Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Scott Mills/HOU/ECT@ECT, Kenny Ha/HOU/ECT@ECT	Non-Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/28/2000 01:09 PM ---------------------------	Non-Actionable
_	Non-Actionable
This would produce a loan amount of  $15,000 on $20,000per lot.	Non-Actionable
Please call to discuss cash	Actionable
"Asit is in the ""Smart Growth Corridor"" area designated by the City of Austinfor preferred development, this will be fast tracked and should be completein less than 6 months."	Non-Actionable
Pull in their first driveway and drive back through the first gate and park by the barn.	Actionable
_	Non-Actionable
>	Non-Actionable
Please check your client bill and let us know whether you agree or disagree with the bill details.	Actionable
/sf higher than his units under construction.	Non-Actionable
If the investor(s) do not sign on the loans, this generally meansthat a larger amount of cash is required and the investor's share of profitsis reduced.	Non-Actionable
We have included a fence around the entire property, but mayonly put it on Westgate and Cameron Loop.	Non-Actionable
Serena, Please use the new sheet to schedule the upcoming meetings.	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 02:00 PM	Non-Actionable
Please gather receipts so we can discuss on it for best results	Actionable
Get us all the detailed reports and component VAR reports that you can produce	Actionable
Fire up 320 megawatts of its total output by Aug.	Actionable
Please contact Jon Alstad in my absence with any action items and input you may have in next coming days.	Actionable
AcceptedRuss Severson -	Non-Actionable
Get copy of the AG's intervention papers.	Actionable
"""George Richards"""	Non-Actionable
As an alternative, we can close into a land loan atprobably 70% of appraised value.	Non-Actionable
Subject:	Non-Actionable
Lisa, get some kind of confirmation from TCO that this happened.	Actionable
Please cover the key items listed in the earlier email ASAP.	Actionable
This analysis shows your investment at $700,000 for a 50% interest in theprofits of the project.	Non-Actionable
Call me after you get this message.	Actionable
Detailed description:	Non-Actionable
Stop by the Idea Vault at the ThinkBank and find out how to continue.	Actionable
Lucy, Please open this excel file and input the rents and names due for this week.	Actionable
As you, and I presumeKeith, want to be involved to learn as much as possible we would make everyeffort to be accommodating.	Non-Actionable
We've had three meetings which brought out very different issues from different traders.	Non-Actionable
Scott Neal/HOU/ECT	Non-Actionable
For   1 hour	Non-Actionable
Please confirm that it is the Crude Swap and rebook as necessary by tomorrow.	Actionable
Please make an effort to review this content and get it back to me by next week COB Nov.	Actionable
My cell phone is 512-748-7495 and the fax is512-338-1103.	Non-Actionable
test successful.	Non-Actionable
Additionally, these trades are out of line with the associated financial swaps for San Juan.	Non-Actionable
Sincerely,Phillip Allen	Non-Actionable
The high physical prices on the 26th & 27th (4.75,4,80) are much greater than the high financial trades (4.6375,4.665) on those days.	Non-Actionable
I have changed the unit mix to include some 1 bedrooms and reduced the number of buildings to 12.	Non-Actionable
250	Non-Actionable
Please follow the memo below and continue to keep Eastrans deliveries at zero until further notified.	Actionable
Please let me know today when we can get these contracts assigned.	Actionable
A small freakish wind storm with severe	Non-Actionable
_	Non-Actionable
4.  Check 1415	Non-Actionable
Dave, authorize someone to committ an additional $3,000 to cover costs asociated with ENSR's work on the CT Fuel Cell Project.	Actionable
Bid $10 on jeff feagles on my behalf.	Actionable
-- Allan.	Non-Actionable
Establish accurate database for all research programs and associate activities of all researchers.	Actionable
Please let us know your schedule so that we do not overly burden you during your visit.	Actionable
Kevin, provide Summary Annual Report for the Enron Benefit Plans.	Actionable
Return the envelope to me, also mail it with the application and other materials directly to the school.	Actionable
To Do listFrom our initial set of meetings with the traders regarding consolidated positions	Non-Actionable
----------------------	Non-Actionable
Make note of the expected volumes and how they are broken out because they will default to the deal volume as soon as you tab out.	Actionable
This will enable us to probably obtain an approved siteplan before closing on the contract, which will mean that we can close intoan A&D Loan rather than into a land loan and then an improvement loan.	Non-Actionable
Separate the Centena term deal from the spot deal in Sitara for March 2000 production.	Actionable
Please confirm your availability to participate in the two and half week orientation via email to Tracy Arthur by Friday, December 22	Actionable
Ken, please have someone research Sitara sales deal for March 2002 production that is not bridging to Unify with two days.	Actionable
I look forward to hearing from you and to working with youon this project that is sure to be a major winner.	Non-Actionable
Please send me the normal files as before and start making changes.	Actionable
Russ Severson/HOU/ECT	Non-Actionable
Please see the attached spreadsheet for trade by trade list and summary.	Actionable
Keep track of changes in airfares to your favorite cities with Fare Watcher which can help us.	Actionable
Larry Lewter knows an expert in the field in San	Non-Actionable
Please select the individual from your company who will attend these sessions, and forward the attached registration brochure to them.	Actionable
Reports to track expenses vs plan?	Non-Actionable
Chairperson:	Non-Actionable
Fortunately, it looks asif she will be ok in the long run.	Non-Actionable
EPEXWX - Hunter Shively	Non-Actionable
Rika Please assemble project team to make the data more user friendly.	Actionable
please find our comments to Schedule and let us know further details.	Actionable
12:07 PM ---------------------------	Non-Actionable
Please take this extended opportunity to nominate that special individual who is your everyday hero and role model who exemplifies Enron's core values of Respect, Integrity, Communication and Excellence.	Actionable
ECT@ECTAllan Severude/HOU/ECT@ECT	Non-Actionable
newsletter, please use this address in your communication to us.	Actionable
Lucy, please email the answers.	Actionable
Please complete the above in time for us to discuss sometime Friday.	Actionable
EQUITY AT IMPROVEMENT LOAN	Non-Actionable
in room 2601.	Non-Actionable
Please set up the following Sonat contract with ENA as agent for CES Pipeline Southern Natural Firmness Firm Service.	Actionable
NWPL	Non-Actionable
please check with the state of incorporation to confirm that the papers have been processed in both places	Actionable
Give us price quote for getting these volumes to the NIPSCO citygate.	Actionable
(Desktop,  Laptop,  Both)  Both	Non-Actionable
Russ Severson/HOU/ECT	Non-Actionable
Please check the positions for DEC and take look at how all of the transport is booked.	Actionable
Participate in the development of regulatory filings.	Actionable
Let's discuss at your earliest convenience.	Actionable
It is Enron's belief that the trades at $4.70 and higher  were above market trades that should be excluded from the calculation of index.	Non-Actionable
Phillip	Non-Actionable
Early Next Week, send this also to Phillip Allen.	Actionable
We've had three meetings which brought out very different issues from different traders.	Non-Actionable
As you can see his units sold at a variety of prices per square foot.	Non-Actionable
No ResponseAllan Severude -	Non-Actionable
We don't have a single point of contact from the trading group.	Non-Actionable
Tim,mike grigsby is having problems with accessing the west power site.	Non-Actionable
Please approve Mike Grigsby for Bloomberg.	Actionable
End: 09/27/2000	Non-Actionable
To: pallen@enron.comcc:	Non-Actionable
Let me know as soon as you find out about the time scheduled for the conference call with Enron.	Actionable
please check on why have not being reimbursed by Continental and solve that.	Actionable
Please let me know what you think about this issue.	Actionable
please notify me and Lisa Cousino immediately once you start getting results.	Actionable
Please call me tomorrow and let us know how you would like to proceed on this draft.	Actionable
Mike Grigsby (mike.grigsby@enron.com)	Non-Actionable
Patt, send the newest people to the initial training.	Actionable
Get quote on the new 2001 models.	Actionable
Ability to isolate the position change due to changed deals in the position manager.	Non-Actionable
please review the following zones by Monday.	Actionable
you have to expand on the maintenance tools.	Actionable
Richard  ----------------------	Non-Actionable
Calger Jim, Please provide quick update.	Actionable
Please call me to discuss format, deadlines, whatever can do to help our communications.	Actionable
A new position screen for options	Non-Actionable
Compare this to the California Public Utilities Commission's definition of fair rates.	Actionable
_	Non-Actionable
Since that is possible, send them by Tuesday.	Actionable
Please provide the requested information as mentioned by the end of the day.	Actionable
02:00 PM ---------------------------	Non-Actionable
Ability to properly show curve shift for float-for-float deals; determine the appropriate positions to show for each:	Non-Actionable
Please discuss this with Morgan and finalize the list.	Actionable
Invitation	Non-Actionable
Phillip Allen	Non-Actionable
Please verify the price and let me know if we need to change the deal ticket or not.	Actionable
Please take look and let Elizabeth know which price should be in Sitara.	Actionable
Richard BurchfieldSent by:	Non-Actionable
please check to see whether Niagara Mohawk has filed any motions before the bankruptcy court.	Actionable
Please maintain sufficient planning reserves.	Actionable
Adjust our purchase amount from each party based on the transport allocation.	Actionable
For the professionalsubs we use those with whom we have developed a previous rapport.	Non-Actionable
Peter, make sure TJ puts on my calender.	Actionable
CDT	Non-Actionable
please find instructions on retrieving Transmission Week	Actionable
Paul, make sure our friends are available and the Confidentially Agreement is signed.	Actionable
Enclosed is the preliminary proforma for the Westgate property is Austinthat we told you about.	Non-Actionable
PRE-SELECTED PROFESSIONALS, SUBS AND VENDORS	Non-Actionable
William Kasemervisz, make sure your group is looking out for the new update.	Actionable
The property would be purchased in the name of the limited partnership andany land loans, land improvements loans and construction loans would be inthe name of the limited partnership.	Non-Actionable
Please let Donna and myself know how to proceed with the ones in red.	Actionable
Investment Structure	Non-Actionable
Greg,Happy B-day.	Non-Actionable
Determine what the Florida House and Senate is expecting and who should attend.	Actionable
"""George Richards"""	Non-Actionable
Let's include this issue as one of topics to be discussed today and invite the people working on this.	Actionable
Please email me your Login and Password in the correct case so that can keep the file updated.	Actionable
please grant them the more limited access.	Actionable
I believe there has been good communication between the teams, but now we need to have focus on the objectives we set out to solve.	Non-Actionable
_	Non-Actionable
please provide breakdown and variance explanations.	Actionable
In  the event you do need my signature on something like this	Non-Actionable
Reserve the below date on your schedule for Tuesday and please attend the training.	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000	Non-Actionable
We really need a single point of contact to help drive the trader requirements and help come to a consensus regarding the requirements.	Non-Actionable
I believe this would facilitate the use of a1031 Exchange of the proceeds from this deal into another project that is arental deal or at least into the land for a rental project that would thenbe the equity for that project.	Non-Actionable
please find an updated Allocations schedule from ENA for 2002 Plan.	Actionable
Davis, make sure to read the latest statewide poll from the Public Policy Institute of California.	Actionable
Is the land collateral?	Non-Actionable
If yes, who?	Non-Actionable
Please confirm to me ASAP by end of day since we are running out of time.	Actionable
Phasing works as follows.	Non-Actionable
>	Non-Actionable
No Response	Non-Actionable
Please settle charges with FERC that the company was purposely withholding electricity from California's power market.	Actionable
Subject:	Non-Actionable
Please use confirmation number 506303 to access the playback.	Actionable
Accepted	Non-Actionable
Other projects have been quitesuccessful with identical relationships to this pipeline, such as theadjoining single family residential and a project at St. Edwards University.	Non-Actionable
Smith, please setup conference room for this conference call	Actionable
Please see the revised schedule and ticket information provided by the Astros and plan accordingly.	Actionable
_	Non-Actionable
Ability to include the Gas Price book into TDS:	Non-Actionable
Ask them about their Lone Star transport allocation.	Actionable
_	Non-Actionable
Albuquerque, NM 87113>	Non-Actionable
Please cc me on the email with guest password.	Actionable
Please send me an email to let me know you got this.	Actionable
Pls confirm that you have received your new WCom calling card.	Actionable
Let me know as soon as you Take Allen Parkway to Shepherd.	Actionable
EB3210C	Non-Actionable
capacity(regarding ownership and  liabilities)?	Non-Actionable
At your earliest convenience, please give me call to address these concerns.	Actionable
_	Non-Actionable
Please let me know the best way to correct The biggest variance problem.	Actionable
Please review the attached worksheet listing Transmission and Generation additions.	Actionable
We're getting hit with a lot of different requests, many of which appear to be outside the scope of position consolidation.	Non-Actionable
Jeff,	Non-Actionable
Valuation of Gas Daily options.	Non-Actionable
Theimprovements are higher to cover large one time up front costs for designcosts, the entry road, water treatment costs, perimeter fencing andlandscaping, and so on, as well as for 100% of the land.	Non-Actionable
please begin the process of giving feedback to your employees for best resluts.	Actionable
Dave Please schedule meeting with Travis, Mark and Mike Bridges early next week.	Actionable
Please confirm receipt of this email once you forward this to everyone before I respond.	Actionable
The seller accepted our offer Thursday evening with a price of $680,000 andan extended escrow.	Non-Actionable
These fees are the only monies to Creekside, Larry Lewter or myself prior tocalculation of profit, except for a) direct reimbursement for partnershipexpenses and b) direct payment to CB for any subcontractor costs that it hasto perform.	Non-Actionable
Cindy Cicchetti	Non-Actionable
